Package	Download_score
CATALYST	737
Category	1659
categoryCompare	390
CatsCradle	160
CausalR	273
cbaf	255
CBEA	70
cBioPortalData	710
CBN2Path	68
CBNplot	238
cbpManager	225
CCAFE	167
ccfindR	239
ccImpute	207
ccmap	198
CCPlotR	213
CCPROMISE	250
ccrepe	327
CDI	185
celaref	285
celda	1178
CellaRepertorium	89
CellBarcode	243
cellbaseR	305
CellBench	329
cellGrowth	114
cellHTS	176
cellHTS2	331
CelliD	383
cellity	294
CellMapper	253
CellMentor	30
cellmig	91
cellmigRation	201
CellMixS	391
CellNOptR	435
cellscape	192
CellScore	148
CellTrails	284
cellTree	199
cellxgenedp	225
CEMiTool	373
censcyt	202
Cepo	346
ceRNAnetsim	188
CeTF	288
CexoR	361
CFAssay	210
cfdnakit	217
cfDNAPro	274
cfTools	158
CGEN	254
CGHbase	723
CGHcall	690
cghMCR	407
CGHnormaliter	319
CGHregions	328
ChAMP	993
CHARGE	32
charm	146
ChemmineOB	570
ChemmineR	1169
CHETAH	275
chevreulPlot	152
chevreulProcess	159
chevreulShiny	131
ChIC	69
Chicago	327
chihaya	238
chimera	166
chimeraviz	370
ChIPanalyser	306
ChIPComp	283
chipenrich	389
ChIPexoQual	298
ChIPpeakAnno	1351
ChIPQC	559
ChIPseeker	2896
chipseq	941
ChIPseqR	414
ChIPSeqSpike	53
ChIPsim	367
ChIPXpress	286
chopsticks	290
chroGPS	152
Chromatograms	89
chromDraw	255
ChromHeatMap	332
ChromoViz	48
chromPlot	339
ChromSCape	243
chromstaR	269
chromswitch	111
chromVAR	1520
CHRONOS	276
cicero	544
cigarillo	7949
CIMICE	198
CINdex	241
circRNAprofiler	314
CircSeqAlignTk	185
cisPath	161
CiteFuse	263
ClassifyR	546
cleanUpdTSeq	398
CleanUpRNAseq	175
cleaver	494
clevRvis	172
clippda	308
clipper	452
cliProfiler	195
cliqueMS	263
Clomial	248
Clonality	150
ClonalSim	1
clonotypeR	102
clst	301
clstutils	288
CluMSID	248
ClustAll	162
clustComp	253
clusterExperiment	582
ClusterFoldSimilarity	161
ClusterGVis	41
ClusterJudge	237
clusterProfiler	25826
clusterSeq	248
ClusterSignificance	249
clusterStab	324
clustifyr	379
ClustIRR	167
clustSIGNAL	157
CMA	409
cmapR	695
CNAnorm	281
CNEr	2235
cn.farms	357
cn.mops	555
CNORdt	259
CNORfeeder	326
CNORfuzzy	318
CNORode	304
CNPBayes	97
CNTools	375
CNVfilteR	228
CNVgears	70
cnvGSA	273
CNViz	166
CNVMetrics	202
CNVPanelizer	306
CNVRanger	287
CNVrd2	327
CNVtools	83
cobindR	124
CoCiteStats	278
COCOA	322
codelink	468
CODEX	405
coexnet	92
CoGAPS	475
cogena	367
cogeqc	235
Cogito	210
coGPS	280
COHCAP	147
cola	474
comapr	166
combi	217
coMET	245
coMethDMR	213
compartmap	120
COMPASS	364
compcodeR	453
CompensAID	26
compEpiTools	324
CompGO	111
ComplexHeatmap	21260
CompoundDb	547
ComPrAn	170
compSPOT	146
conclus	48
concordexR	191
condcomp	10
condiments	294
CONFESS	319
consensus	219
ConsensusClusterPlus	3307
consensusDE	251
consensusOV	292
consensusSeekeR	295
consICA	205
CONSTANd	202
contiBAIT	213
conumee	439
convert	433
copa	336
COPDSexualDimorphism	18
copynumber	323
CopyNumber450k	54
CopyNumberPlots	262
CopywriteR	188
Coralysis	133
coRdon	445
CoRegFlux	28
CoRegNet	177
CoreGx	583
Cormotif	313
CorMut	78
coRNAi	95
corral	255
CORREP	146
coseq	368
CoSIA	174
cosmiq	293
cosmo	87
cosmoGUI	37
cosmosR	285
COSNet	248
COTAN	241
CountClust	97
countsimQC	429
covEB	248
CoverageView	336
covRNA	250
CPSM	144
cpvSNP	314
cqn	549
CrcBiomeScreen	4
CRImage	401
CRISPRball	130
crisprBase	289
crisprBowtie	268
crisprBwa	166
crisprDesign	286
crisprScore	299
CRISPRseek	427
crisprseekplus	110
crisprShiny	134
CrispRVariants	390
crisprVerse	202
crisprViz	282
crlmm	608
CrossICC	19
crossmeta	200
crumblr	152
crupR	154
CSAR	372
csaw	794
csdR	175
CSOA	77
CSSP	98
CSSQ	230
ctc	518
CTdata	184
CTDquerier	395
CTexploreR	168
ctgGEM	41
cTRAP	279
ctsGE	262
CTSV	177
cummeRbund	484
CuratedAtlasQueryR	191
customCMPdb	218
customProDB	316
CVE	53
cyanoFilter	206
cycle	339
cydar	344
cypress	176
CytoDx	216
cytofast	39
cytofkit	80
CyTOFpower	157
cytofQC	147
CytoGLMM	203
cytoKernel	200
cytolib	2995
cytomapper	559
CytoMDS	163
cytoMEM	217
CytoML	855
CytoPipeline	203
CytoPipelineGUI	159
CytoTree	56
cytoviewer	215
dada2	3203
dagLogo	411
daMA	342
DAMEfinder	296
damidBind	34
DaMiRseq	345
Damsel	167
dandelionR	147
DAPAR	380
dar	171
DART	328
DASC	4
DASiR	58
dasper	65
DAVIDQuery	56
DBChIP	144
dcanr	393
DCATS	176
dce	153
dcGSA	216
DChIPRep	129
ddCt	379
ddgraph	83
ddPCRclust	256
dearseq	300
debCAM	193
debrowser	378
decemedip	29
DECIPHER	3662
deco	94
DEComplexDisease	99
decompTumor2Sig	250
DeconRNASeq	443
decontam	2059
decontX	538
DeconvoBuddies	157
deconvR	237
decoupleR	2327
DEDS	188
DeeDeeExperiment	84
DeepBlueR	143
DeepPINCS	199
deepSNV	498
DeepTarget	153
DEFormats	513
DegCre	184
DegNorm	244
DEGraph	254
DEGreport	817
DEGseq	483
DelayedArray	50767
DelayedDataFrame	259
DelayedMatrixStats	17499
DelayedRandomArray	198
DelayedTensor	202
DELocal	159
deltaCaptureC	195
deltaGseg	247
DeMAND	200
DeMixT	280
demuxmix	241
demuxSNP	192
DenoIST	22
densvis	786
DEP	987
DepecheR	257
DepInfeR	185
DeProViR	24
DEqMS	517
derfinder	869
derfinderHelper	744
derfinderPlot	401
DEScan2	301
DESeq	451
DESeq2	29333
DEsingle	402
DESpace	241
destiny	1240
DEsubs	322
DEWSeq	271
DExMA	234
DEXSeq	2058
dexus	122
DFP	316
DFplyr	151
DIAlignR	93
DiffBind	1594
diffcoexp	263
diffcyt	592
DifferentialRegulation	201
diffGeneAnalysis	252
diffHic	428
DiffLogo	281
diffloop	227
diffuStats	272
diffUTR	236
diggit	249
Dino	218
dinoR	168
Director	103
dir.expiry	6539
DirichletMultinomial	5069
discordant	286
DiscoRhythm	276
distinct	315
dittoSeq	1487
divergence	204
dks	228
DMCFB	236
DMCHMM	242
dmGsea	124
DMRcaller	378
DMRcate	1288
DMRforPairs	155
DMRScan	303
dmrseq	474
DNABarcodeCompatibility	178
DNABarcodes	330
DNAcopy	4385
DNAcycP2	150
DNAfusion	210
DNaseR	25
DNAshapeR	428
DNEA	111
domainsignatures	84
dominatR	41
DominoEffect	226
dominoSignal	170
doppelgangR	299
DOQTL	123
Doscheda	262
DOSE	25387
doseR	276
DOtools	57
DOTSeq	30
doubletrouble	242
dpeak	69
drawProteins	320
dreamlet	334
DRIMSeq	625
DriverNet	258
DropletUtils	2931
drugfindR	27
drugTargetInteractions	210
DrugVsDisease	306
dSimer	73
DspikeIn	81
DSS	1029
dStruct	189
DTA	251
dualKS	167
Dune	206
DupChecker	61
DuplexDiscovereR	149
dupRadar	330
dyebias	365
DynDoc	1863
easier	312
EasyCellType	220
easylift	172
EasyqpcR	116
easyreporting	230
easyRNASeq	420
EBarrays	577
EBcoexpress	306
EBImage	3335
EBSEA	228
EBSeq	695
EBSeqHMM	145
ecolitk	401
EDASeq	1943
edd	80
EDDA	108
edge	340
edgeR	27757
EDIRquery	172
eds	352
eegc	135
EGAD	337
EGSEA	454
eiR	297
eisa	228
eisaR	332
ELBOW	114
ELMER	490
ELViS	156
EMDomics	331
EmpiricalBrownsMethod	281
ENCODExplorer	90
EnhancedVolcano	7174
enhancerHomologSearch	222
EnMCB	217
ENmix	565
EnrichDO	165
EnrichedHeatmap	1258
EnrichmentBrowser	755
enrichplot	26643
enrichTF	100
enrichViewNet	191
ensembldb	10519
ensemblVEP	203
ENVISIONQuery	75
