Package	Download_score
Mfuzz	1617
MGFM	294
MGFR	252
MGnifyR	173
mgsa	330
mia	1899
miaDash	145
miaSim	224
miaTime	100
miaViz	507
MiChip	299
microbiome	2520
microbiomeDASim	183
microbiomeExplorer	213
microbiomeMarker	451
MicrobiomeProfiler	235
MicrobiotaProcess	640
microRNA	805
microSTASIS	110
MICSQTL	176
midasHLA	193
MIGSA	133
miloR	1098
mimager	268
MIMOSA	158
mina	173
MineICA	420
minet	985
minfi	2771
MinimumDistance	374
MiPP	336
miQC	337
MIRA	299
MiRaGE	413
miRBaseConverter	414
miRcomp	292
mirIntegrator	290
MIRit	187
miRLAB	313
miRmine	162
miRNAmeConverter	224
miRNApath	245
miRNAtap	353
miRSM	271
miRsponge	28
miRspongeR	259
Mirsynergy	74
mirTarRnaSeq	235
missMethyl	1340
missRows	226
mist	128
mistyR	309
mitch	299
mitoClone2	205
mitology	177
mitoODE	72
mixOmics	4431
MLInterfaces	818
mlm4omics	16
MLP	473
MLSeq	377
MMAPPR2	53
MMDiff	97
MMDiff2	326
mmgmos	22
mmnet	64
MmPalateMiRNA	134
MMUPHin	319
mnem	298
moanin	216
mobileRNA	170
MobilityTransformR	45
MODA	237
ModCon	173
Modstrings	313
MOFA	37
MOFA2	1258
MOGAMUN	210
mogsa	458
MoleculeExperiment	195
MOMA	242
monaLisa	357
monocle	3926
Moonlight2R	189
MoonlightR	305
MoPS	80
mosaics	472
mosbi	220
MOSClip	156
mosdef	387
MOSim	260
Motif2Site	205
motifbreakR	479
motifcounter	241
MotifDb	1090
motifmatchr	1816
MotifPeeker	145
motifRG	135
motifStack	1138
motifTestR	188
MotIV	164
MouseFM	192
MPAC	137
MPFE	200
mpra	318
MPRAnalyze	251
MQmetrics	57
mQTL.NMR	89
msa	2589
MSA2dist	228
MsBackendMassbank	231
MsBackendMetaboLights	180
MsBackendMgf	780
MsBackendMsp	414
MsBackendRawFileReader	246
MsBackendSql	224
MsCoreUtils	4328
MsDataHub	279
MSEADbi	12
MsExperiment	1610
MsFeatures	1857
msgbsR	279
MSGFgui	127
MSGFplus	99
msImpute	243
mslp	138
msmsEDA	435
msmsTests	462
MSnbase	4224
MSnID	534
mspms	186
MSPrep	187
msPurity	345
msqrob2	339
MsQuality	191
MSstats	919
MSstatsBig	182
MSstatsBioNet	163
MSstatsConvert	766
MSstatsLiP	276
MSstatsLOBD	167
MSstatsPTM	408
MSstatsQC	263
MSstatsQCgui	183
MSstatsResponse	81
MSstatsSampleSize	78
MSstatsShiny	241
MSstatsTMT	523
MSstatsTMTPTM	19
MTseeker	29
MuData	227
Mulcom	320
MultiAssayExperiment	7796
MultiBaC	233
multiClust	303
multicrispr	240
MultiDataSet	1969
multiGSEA	318
multiHiCcompare	349
MultiMed	267
multiMiR	817
MultimodalExperiment	191
multiOmicsViz	123
MultiRNAflow	183
multiscan	299
multiSight	57
multistateQTL	151
multiWGCNA	198
multtest	13022
mumosa	244
MungeSumstats	811
muscat	969
muscle	593
musicatk	262
MutationalPatterns	613
mutscan	83
MutSeqR	32
MVCClass	319
mvGST	68
MWASTools	342
mygene	603
myvariant	358
mzID	3868
mzR	4414
NADfinder	302
NanoMethViz	279
NanoStringDiff	278
NanoStringNCTools	607
NanoStringQCPro	139
nanotatoR	81
NanoTube	261
NarrowPeaks	116
NBAMSeq	223
NBSplice	81
ncdfFlow	1672
ncGTW	207
NCIgraph	222
ncRNAtools	219
ndexr	230
neaGUI	60
nearBynding	245
Nebulosa	1527
NeighborNet	74
nem	260
nempi	215
NetActivity	187
netbenchmark	60
netbiov	155
netboost	213
netboxr	57
netDx	84
nethet	279
netOmics	81
NetPathMiner	285
netprioR	208
netReg	42
netresponse	319
NetSAM	292
netSmooth	284
networkBMA	124
netZooR	128
NeuCA	91
NewWave	241
NGScopy	78
ngsReports	283
nipalsMCIA	192
nnNorm	334
nnSVG	255
NOISeq	796
nondetects	298
NoRCE	250
normalize450K	248
NormalyzerDE	427
NormqPCR	387
normr	360
notame	94
notameStats	69
notameViz	85
NPARC	241
npGSEA	331
NTW	233
nucleoSim	268
nucleR	425
nuCpos	222
nudge	114
nullranges	358
NuPoP	314
NxtIRFcore	73
OAtools	9
occugene	239
OCplus	334
octad	227
ODER	50
odseq	242
OGRE	202
OGSA	80
oligo	3340
oligoClasses	2385
OLIN	409
OLINgui	343
omada	143
OmaDB	343
omicade4	425
OmicCircos	395
omicplotR	217
omicRexposome	273
omicsGMF	71
OmicsLonDA	83
OmicsMarkeR	82
OmicsMLRepoR	102
OMICsPCA	301
omicsPrint	285
omicsViewer	230
Omixer	212
OmnipathR	1507
ompBAM	223
omXplore	195
Onassis	74
oncomix	236
oncoscanR	196
OncoScore	256
OncoSimulR	314
oneChannelGUI	148
oneSENSE	83
onlineFDR	177
ontoCAT	85
ontoProc	402
ontoTools	82
openCyto	1182
openPrimeR	304
openPrimeRui	96
OpenStats	165
OperaMate	39
oposSOM	349
oppar	294
oppti	102
optimalFlow	201
OPWeight	251
OrderedList	334
ORFhunteR	222
ORFik	497
OrganismDbi	3387
Organism.dplyr	431
orthogene	809
orthos	178
OSAT	295
Oscope	343
OSTA.data	214
OTUbase	364
OutlierD	147
OUTRIDER	448
OutSplice	190
OVESEG	230
PAA	340
packFinder	251
padma	244
PADOG	477
pageRank	205
PAIRADISE	264
paircompviz	264
pairedGSEA	177
pairkat	202
pairseqsim	12
pamr	84
pandaR	333
panelcn.mops	319
PAnnBuilder	93
PanomiR	208
panp	431
PANR	296
PanViz	97
PanVizGenerator	92
PAPi	125
parati	5
pareg	51
parglms	296
parody	348
partCNV	163
PAST	271
Path2PPI	279
pathifier	282
pathlinkR	184
pathMED	100
PathNet	279
PathoStat	280
pathprint	51
pathRender	346
pathVar	147
pathview	5519
pathwayPCA	285
PathwaySplice	95
PatientGeneSets	25
paxtoolsr	182
Pbase	113
pbcmc	56
pcaExplorer	532
pcaGoPromoter	93
pcaMethods	6320
PCAN	311
PCAtools	1370
pcot2	205
PCpheno	222
pcxn	82
PDATK	233
pdInfoBuilder	467
pdmclass	171
PeacoQC	479
peakCombiner	74
peakPantheR	230
PECA	328
peco	236
Pedixplorer	185
pengls	171
PepSetTest	145
PepsNMR	293
pepStat	334
pepXMLTab	257
PERFect	82
periodicDNA	284
perturbatr	47
pfamAnalyzeR	393
PFP	48
PGA	174
pgca	182
PGSEA	279
pgUtils	47
pgxRpi	149
phantasus	281
phantasusLite	171
PharmacoGx	613
phemd	122
phenoDist	92
PhenoGeneRanker	163
phenomis	210
phenopath	412
phenoTest	431
PhenStat	239
philr	473
PhIPData	235
phosphonormalizer	203
PhosR	385
PhyloProfile	300
phyloseq	7237
Pi	150
piano	779
PICB	149
pickgene	272
PICS	315
Pigengene	292
PING	280
pint	79
pipeComp	262
pipeFrame	286
PIPETS	153
Pirat	133
PIUMA	143
pkgDepTools	204
plaid	26
planet	366
planttfhunter	178
plasmut	152
plateCore	176
plethy	170
plgem	445
plier	437
PlinkMatrix	4
PloGO2	86
plotgardener	410
plotGrouper	213
PLPE	297
plrs	153
PLSDAbatch	164
plw	147
plyinteractions	188
plyranges	1460
plyxp	208
pmm	189
pmp	325
PMScanR	77
PoDCall	182
podkat	401
poem	150
pogos	244
polyester	270
Polyfit	88
PolySTest	143
Polytect	146
POMA	327
posDemux	11
POST	51
postNet	6
PoTRA	53
PowerExplorer	39
powerTCR	464
POWSC	207
ppcseq	213
PPInfer	302
ppiStats	264
pqsfinder	447
prada	191
pram	251
prebs	340
preciseTAD	305
PrecisionTrialDrawer	54
PREDA	394
predictionet	111
preprocessCore	16702
primirTSS	255
PrInCE	234
Prize	42
proActiv	320
proBAMr	289
proBatch	136
PROcess	354
procoil	392
ProCoNA	93
proDA	420
proFIA	112
profileplyr	378
profileScoreDist	232
progeny	1003
projectR	275
pRoloc	787
pRolocGUI	362
PROMISE	307
PRONE	173
PROPER	345
PROPS	248
Prostar	290
prot2D	112
proteasy	53
proteinProfiles	203
ProteoDisco	253
ProteomicsAnnotationHubData	87
ProteoMM	266
proteoQC	90
protGear	220
ProtGenerics	12621
PSEA	162
psichomics	313
PSICQUIC	135
PSMatch	3162
psygenet2r	166
ptairMS	275
PTMods	41
PubScore	52
pulsedSilac	48
puma	428
PureCN	487
pvac	305
pvca	556
Pviz	309
pwalign	8459
PWMEnrich	568
pwOmics	259
pwrEWAS	61
qckitfastq	131
qcmetrics	393
QDNAseq	710
QFeatures	3657
qmtools	213
qpcrNorm	304
qpgraph	583
qPLEXanalyzer	267
qrqc	188
QRscore	156
qsea	320
qsmooth	296
QSutils	298
qsvaR	201
QTLExperiment	175
Qtlizer	231
QUALIFIER	139
quantiseqr	1020
quantro	519
quantsmooth	839
QuartPAC	147
QuasR	760
QuaternaryProd	222
QUBIC	304
queeems	1
qusage	622
qvalue	24596
R3CPET	318
r3Cseq	392
R453Plus1Toolbox	332
R4RNA	912
RadioGx	256
raer	215
RaggedExperiment	1162
RAIDS	152
rain	353
rama	183
RamiGO	72
ramr	223
ramwas	342
RandomWalkRestartMH	113
randPack	283
randRotation	182
RankMap	3
RankProd	581
RAREsim	171
RareVariantVis	327
Rariant	168
Rarr	450
rawDiag	155
rawrr	327
RbcBook1	540
Rbec	150
RBedMethyl	15
RBGL	10021
RBioFormats	417
RBioinf	258
rBiopaxParser	683
rBLAST	295
RBM	264
Rbowtie	647
Rbowtie2	503
RbowtieCuda	92
rbsurv	305
Rbwa	166
Rcade	258
RCAS	366
RCASPAR	209
rcellminer	350
rCGH	499
Rchemcpp	134
RchyOptimyx	102
RcisTarget	1667
RCM	275
Rcollectl	90
Rcpi	383
RCSL	197
Rcwl	262
RcwlPipelines	203
RCX	204
RCy3	1174
RCyjs	314
RCytoscape	77
RDAVIDWebService	145
Rdbi	63
RdbiPgSQL	25
rDGIdb	119
Rdisop	927
RDRToolbox	351
ReactomeContentService4R	73
ReactomeGraph4R	45
ReactomeGSA	378
ReactomePA	5047
readat	65
ReadqPCR	384
reb	203
REBET	210
rebook	270
receptLoss	122
reconsi	184
recount	668
recount3	881
recountmethylation	260
recoup	407
RedeR	535
RedisParam	166
REDseq	331
ReducedExperiment	162
RefNet	110
RefPlus	284
Rega	3
RegEnrich	332
regionalpcs	129
RegionalST	165
regioneR	2398
regioneReloaded	198
regionReport	447
regsplice	257
regutools	255
REMP	302
Repitools	482
ReportingTools	946
reposTools	22
RepViz	197
ReQON	195
ResidualMatrix	4742
RESOLVE	178
Resourcerer	65
restfulSE	159
retrofit	177
ReUseData	156
rexposome	347
rfaRm	228
Rfastp	267
RFGeneRank	2
RFLOMICS	144
rflowcyt	96
rfPred	329
rGADEM	464
RGalaxy	132
rGenomeTracks	181
Rgin	48
RGMQL	72
RgnTX	158
rgoslin	272
RGraph2js	281
Rgraphviz	10402
rGREAT	1022
RGSEA	302
rgsepd	309
rhdf5	26154
rhdf5client	308
rhdf5filters	24521
Rhdf5lib	26874
rhinotypeR	145
Rhisat2	319
Rhtslib	26290
rHVDM	189
RiboCrypt	241
RiboDiPA	240
RiboProfiling	328
ribor	224
riboSeqR	348
ribosomeProfilingQC	277
rifi	173
rifiComparative	163
Rigraphlib	1270
rigvf	139
RImmPort	216
Ringo	400
Rintact	38
RIPAT	76
RIPSeeker	152
Risa	260
RITAN	216
RIVER	282
RJMCMCNucleosomes	263
RLassoCox	178
RLMM	267
RLSeq	61
RMAGEML	25
Rmagpie	288
RMAPPER	47
RMassBank	468
rMAT	117
rmelting	219
RmiR	127
Rmmquant	243
rmspc	215
RNAAgeCalc	287
RNAdecay	175
rnaEditr	220
RNAinteract	164
RNAither	174
RNAmodR	265
RNAmodR.AlkAnilineSeq	231
RNAmodR.ML	260
RNAmodR.RiboMethSeq	216
RNAprobR	88
RNAsense	219
rnaseqcomp	296
RNAseqCovarImpute	159
rnaSeqMap	205
RNASeqPower	384
RNASeqR	64
RnaSeqSampleSize	332
RNAshapeQC	10
RnBeads	634
Rnits	292
roar	347
roastgsa	176
ROC	1567
ROCpAI	200
RolDE	191
Roleswitch	106
Rolexa	90
rols	795
ROntoTools	465
ropls	2015
ROSeq	249
ROTS	487
RPA	366
rprimer	219
RProtoBufLib	2933
RpsiXML	268
rpx	756
Rqc	543
rqt	220
rqubic	288
rRDP	282
Rredland	32
RRHO	301
rrvgo	861
Rsamtools	28863
rsbml	352
rScudo	254
rsemmed	187
RSeqAn	216
rSFFreader	114
RSNPper	38
Rsubread	2406
RSVSim	357
rSWeeP	230
rTANDEM	125
RTCA	272
RTCGA	746
RTCGAToolbox	796
RTN	469
RTNduals	249
RTNsurvival	263
RTools4TB	10
RTopper	376
Rtpca	239
rtracklayer	23763
Rtreemix	240
rTRM	422
rTRMui	291
RUCova	172
runibic	189
Ruuid	59
RUVcorr	258
RUVnormalize	313
RUVSeq	1223
Rvisdiff	180
RVS	230
RWebServices	32
rWikiPathways	599
S4Arrays	49222
S4Vectors	65240
safe	870
SAGElyzer	30
sagenhaft	307
SAGx	189
SAIGEgds	236
samExploreR	48
sampleClassifier	219
SamSPECTRAL	351
sangeranalyseR	386
sangerseqR	813
SanityR	83
SANTA	298
sapFinder	110
saps	25
SARC	121
sarks	210
saseR	164
satuRn	542
savR	78
SBGNview	295
sbgr	9
SBMLR	319
SC3	690
scafari	103
Scale4C	264
ScaledMatrix	14833
scAlign	88
scanMiR	237
scanMiRApp	211
scAnnotatR	225
SCAN.UPC	425
SCANVIS	227
SCArray	242
SCArray.sat	161
SCATE	55
scater	9135
scatterHatch	162
scBFA	234
SCBN	203
scBubbletree	202
scCB2	223
scClassifR	30
scClassify	310
sccomp	276
scConform	6
scDataviz	239
scDblFinder	3215
scDD	441
scDDboost	193
scde	669
scDesign3	206
scDiagnostics	162
scDotPlot	191
scds	778
scECODA	3
SCFA	215
scFeatureFilter	242
scFeatures	207
scfind	37
scGPS	257
scGraphVerse	69
schex	307
scHiCcompare	155
scHOT	263
scider	197
scifer	199
ScISI	250
scLANE	71
scLang	8
scMAGeCK	41
scmap	580
scMerge	571
scMET	199
scmeth	277
scMitoMut	155
scMultiSim	194
SCnorm	346
scone	403
Sconify	221
SCOPE	269
scoreInvHap	260
scoup	144
scp	373
scPassport	8
scPCA	283
scPipe	356
scQTLtools	110
scran	6937
scrapper	1352
scReClassify	250
scRecover	257
screenCounter	176
ScreenR	155
scRepertoire	913
scRNAseqApp	215
scruff	286
scry	521
scShapes	162
scsR	107
scTensor	249
scTGIF	276
scTHI	211
scToppR	5
scTreeViz	204
scTypeEval	3
scuttle	11149
scviR	150
SDAMS	216
seahtrue	177
sechm	280
segmenter	204
segmentSeq	414
selectKSigs	187
SELEX	290
SemDist	308
semisup	202
SEMPLR	13
SemSim	34
SEPA	49
SEPIRA	126
seq2pathway	251
seqArchR	170
seqArchRplus	142
SeqArray	1221
seqbias	206
seqCAT	269
seqCNA	136
seqcombo	192
SeqGate	205
SeqGSEA	374
seq.hotSPOT	156
Seqinfo	25236
seqLogo	3853
seqPattern	1109
seqplots	147
seqsetvis	335
SeqSQC	306
Seqtometry	10
seqTools	247
SeqVarTools	748
SEraster	154
sesame	1073
SETA	73
SEtools	243
sevenbridges	303
sevenC	304
sfi	12
SGCP	201
SGSeq	586
SharedObject	316
shinybiocloader	76
shinyDSP	162
shinyepico	237
shiny.gosling	117
shinyMethyl	364
shinyTANDEM	81
ShortRead	7019
SIAMCAT	332
SICtools	290
sigaR	125
SigCheck	295
sigFeature	443
SigFuge	284
siggenes	3641
sights	241
signatureSearch	353
signeR	329
signet	28
signifinder	208
sigPathway	195
SigsPack	240
sigsquared	251
SIM	323
SIMAT	263
SimBindProfiles	166
SimBu	210
SIMD	202
SimFFPE	200
similaRpeak	301
SIMLR	420
simona	920
simPIC	153
simpleaffy	233
simpleSeg	311
simplifyEnrichment	1378
simulatorAPMS	32
simulatorZ	128
sincell	318
singIST	12
single	102
SingleCellAlleleExperiment	177
SingleCellExperiment	20770
SingleCellSignalR	426
singleCellTK	518
SingleMoleculeFootprinting	208
SingleR	5680
singscore	2029
SiPSiC	157
SISPA	102
sitadela	215
Site2Target	132
sitePath	256
sizepower	291
SJava	25
sketchR	168
skewr	280
slalom	202
SLGI	212
slingshot	2918
slinky	73
SLqPCR	263
SMAD	191
SMAP	184
smartid	157
SmartPhos	39
SMITE	309
smoothclust	147
smoppix	139
SMTrackR	15
SNAGEE	283
snapCGH	281
snapcount	220
snifter	574
snm	343
SNPchip	225
SNPediaR	217
SNPhood	373
snpMatrix	38
SNPRelate	2323
snpStats	2666
soGGi	537
sojourner	61
SomatiCA	72
SomaticSignatures	395
SOMNiBUS	189
sosta	180
SpaceMarkers	159
SpacePAC	223
SpaceTrooper	124
spacexr	442
spade	63
Spaniel	253
SpaNorm	197
spARI	82
sparrow	503
SparseArray	54436
sparseDOSSA	93
sparseMatrixStats	18245
sparsenetgls	189
SparseSignatures	290
spaSim	194
SpatialArtifacts	7
SpatialCPie	234
spatialDE	256
SpatialDecon	339
SpatialExperiment	8001
SpatialExperimentIO	206
spatialFDA	174
SpatialFeatureExperiment	362
spatialHeatmap	249
SpatialOmicsOverlay	190
spatialSimGP	134
spatzie	152
speckle	480
specL	316
SpeCond	312
Spectra	3592
SpectralTAD	277
SpectraQL	140
SpectriPy	76
SPEM	273
SPIA	1055
SPIAT	263
SPICEY	78
spicyR	402
SpidermiR	133
SpiecEasi	12
spikeLI	291
spiky	217
spillR	151
spkTools	293
splatter	740
splicegear	152
SpliceImpactR	7
splicelogic	2
spliceR	130
spliceSites	94
SpliceWiz	289
SplicingFactory	185
SplicingGraphs	390
SplineDV	158
splineTCDiffExpr	5
splineTimeR	285
SPLINTER	278
splots	367
SpNeigh	11
SPONGE	284
spoon	145
SpotClean	228
SPOTlight	504
spotSegmentation	84
SpotSweeper	270
spqn	236
SPsimSeq	252
SQLDataFrame	169
SQUADD	117
squallms	144
sRACIPE	270
SRAdb	684
sRAP	86
SRGnet	52
srnadiff	257
sscore	228
sscu	269
sSeq	348
ssize	310
sSNAPPY	221
SSPA	255
ssPATHS	215
ssrch	207
ssviz	283
StabMap	160
STADyUM	78
stageR	493
stam	43
STAN	156
standR	331
staRank	144
StarBioTrek	123
staRgate	29
Starr	183
STATegRa	392
StatescopeR	10
Statial	261
statTarget	385
STdeconvolve	96
stepNorm	306
stepwiseCM	72
stJoincount	193
stPipe	89
strandCheckR	249
Streamer	296
STRINGdb	3164
STROMA4	166
struct	360
Structstrings	276
structToolbox	278
StructuralVariantAnnotation	400
SubCellBarCode	228
subSeq	338
SUITOR	169
SummarizedBenchmark	168
SummarizedExperiment	48901
Summix	164
SuperCellCyto	82
supersigs	257
supraHex	353
surfaltr	235
SurfR	165
survClust	137
survcomp	1950
survtype	215
Sushi	220
sva	9631
svaNUMT	205
SVAPLSseq	78
svaRetro	201
SVM2CRM	85
SVMDO	183
SVP	168
SWATH2stats	261
SwathXtend	214
swfdr	297
SwimR	90
switchBox	268
switchde	263
synapsis	202
synapter	297
synergyfinder	399
SynExtend	257
synlet	231
SynMut	211
syntenet	294
systemPipeR	1752
systemPipeShiny	230
systemPipeTools	210
tadar	177
TADCompare	261
tanggle	243
TAPseq	248
target	255
TargetDecoy	218
TargetScore	279
TargetSearch	288
TarSeqQC	147
TaxSEA	149
TBSignatureProfiler	272
TCC	560
TCGAbiolinks	5962
TCGAbiolinksGUI	84
TCGAutils	964
TCseq	733
TDARACNE	137
TDbasedUFE	181
TDbasedUFEadv	216
TEKRABber	199
TENET	147
TENxIO	323
tenXplore	269
TEQC	371
terapadog	157
ternarynet	238
terraTCGAdata	180
TFARM	221
TFBSTools	3804
TFEA.ChIP	346
TFHAZ	298
TFutils	306
tidybulk	480
tidyCoverage	179
tidyexposomics	29
tidyFlowCore	134
tidyomics	174
tidyprint	16
tidysbml	147
tidySingleCellExperiment	503
tidySpatialExperiment	217
tidySummarizedExperiment	399
tidytof	85
tigre	356
TileDBArray	212
tilingArray	458
timecourse	468
timeOmics	264
timescape	202
TimeSeriesExperiment	86
TimiRGeN	80
TIN	324
TissueEnrich	395
TitanCNA	251
tkWidgets	1957
tLOH	198
TMixClust	248
TMSig	149
TNBC.CMS	80
TnT	279
TOAST	752
tofsims	87
tomoda	195
tomoseqr	193
TOP	175
ToPASeq	90
topconfects	342
topdownr	295
topGO	2731
toppgene	4
ToxicoGx	265
TPP	392
TPP2D	231
tpSVG	155
tracktables	446
trackViewer	957
tradeSeq	1215
TrajectoryGeometry	164
TrajectoryUtils	3031
transcriptogramer	294
transcriptR	328
transformGamPoi	221
transite	245
tRanslatome	342
transmogR	158
transomics2cytoscape	215
TransView	339
TraRe	43
traseR	337
Travel	9
traviz	95
TreeAndLeaf	273
treeclimbR	163
treeio	28414
treekoR	257
TreeSummarizedExperiment	2666
TREG	215
trena	163
TReNA	5
Trendy	276
TRESS	231
tricycle	495
TrIdent	130
triform	95
trigger	211
trio	347
triplex	405
tripr	224
tRNA	312
tRNAdbImport	260
tRNAscanImport	263
TRONCO	417
TSAR	144
TSCAN	745
tscR	60
tspair	147
TSRchitect	148
TSSi	108
ttgsea	178
TTMap	286
TurboNorm	353
TVTB	353
tweeDEseq	350
twilight	423
twoddpcr	268
txcutr	201
txdbmaker	6055
tximeta	1782
tximport	4848
TxRegInfra	38
TypeInfo	174
UCell	2118
UCSC.utils	35530
Ularcirc	286
UMI4Cats	268
uncoverappLib	221
UNDO	304
unifiedWMWqPCR	253
UniProt.ws	1034
Uniquorn	302
universalmotif	1494
updateObject	195
UPDhmm	154
uSORT	314
VAExprs	190
VanillaICE	538
VarCon	235
variancePartition	1889
VariantAnnotation	9718
VariantExperiment	146
VariantFiltering	387
VariantTools	375
vasp	21
VaSP	266
vbmp	368
VCFArray	280
VDJdive	191
Vega	89
VegaMC	350
velociraptor	315
veloviz	175
VennDetail	380
VERSO	192
vidger	282
viper	1340
virtualArray	25
ViSEAGO	335
VisiumIO	282
visiumStitched	151
vissE	270
VISTA	5
vmrseq	143
Voyager	319
VplotR	262
vsclust	200
vsn	6468
vtpnet	319
vulcan	206
waddR	152
wateRmelon	1094
wavClusteR	311
waveTiling	139
wavFeatExt	2
weaver	278
webbioc	392
weitrix	287
widgetInvoke	20
widgetTools	1893
wiggleplotr	344
wpm	227
wppi	166
Wrench	2117
XAItest	135
XBSeq	172
xCell2	239
XCIR	22
xcms	2355
xcore	210
XDE	441
XeniumIO	140
xenLite	145
Xeva	248
XINA	230
xmapbridge	266
xmapcore	23
XNAString	142
xps	142
XVector	59262
y2hStat	26
yamss	343
YAPSA	359
yaqcaffy	239
yarn	351
ZarrArray	35
zellkonverter	3256
zenith	295
zFPKM	258
zinbwave	1019
zitools	146
zlibbioc	25231
ZygosityPredictor	178
